Task ID,Task Name,Phase,Start Date,End Date,Duration (Days),Dependency,Owner,Critical,Deliverable,Status
P1-T1,SRS traceability and scope lock,Phase I,2026-03-10,2026-03-16,7,,PM + All Devs,Yes,SRS-to-backlog mapping and frozen scope,Completed
P1-T2,CIS 1.0 inspectdb mapping and adapter contracts,Phase I,2026-03-17,2026-03-31,15,P1-T1,Dev 1 + Dev 3,Yes,Legacy schema mapping + data consuming API contracts,In Progress
P1-T3,Angular-Django foundation with RBAC and MFA,Phase I,2026-03-17,2026-04-07,22,P1-T1,Dev 1 + Dev 2,Yes,Base application shell with secure access controls,In Progress
P1-T4,4-step eFiling workflow + searchable PDF upload,Phase I,2026-03-24,2026-04-15,23,P1-T3,Dev 2,Yes,Metadata->Upload->ePayment->OTP/Aadhaar flow,In Progress
P1-T5,Basic judge advocate and scrutiny dashboards,Phase I,2026-04-01,2026-04-22,22,P1-T3,Dev 4,Yes,Role-wise baseline dashboards,Planned
P1-T6,EC-prefixed filing number trigger in CIS 1.0,Phase I,2026-04-10,2026-04-24,15,P1-T2;P1-T4,Dev 1 + Dev 3,Yes,Accepted scrutiny generates EC filing numbers,Planned
P1-T7,Phase I migration and acceptance closure,Phase I,2026-04-20,2026-04-30,11,P1-T5;P1-T6,All Devs,Yes,Phase I sign-off by 30.04.2026,Planned
P2-T1,Registry dashboard foundation and section queues,Phase II,2026-05-02,2026-05-31,30,P1-T7,Dev 3,Yes,Registry v1 for Civil/Criminal/Writ sections,Planned
P2-T2,Advocate portfolio by Bar ID plus order/status access,Phase II,2026-05-16,2026-06-20,36,P2-T1,Dev 2,Yes,Bar-linked portfolio and downloads,Planned
P2-T3,FSO-advocate real-time communication,Phase II,2026-06-01,2026-06-30,30,P2-T1,Dev 3 + Dev 2,Yes,Defect communication channel with audit trail,Planned
P2-T4,Digital Vakalath and My Partners collaboration,Phase II,2026-06-15,2026-07-20,36,P2-T2,Dev 2,No,Vakalath lifecycle and partner access controls,Planned
P2-T5,AI scrutiny module for defect recommendations,Phase II,2026-07-01,2026-08-10,41,P2-T3,Dev 4 + Dev 3,Yes,AI-assisted formatting and metadata checks,Planned
P2-T6,AI research and translation initial rollout,Phase II,2026-07-20,2026-09-05,48,P2-T5,Dev 4,No,Controlled AI research and translation features,Planned
P2-T7,Legacy file tracking integration and data quality pass,Phase II,2026-08-01,2026-09-20,51,P2-T1,Dev 3 + Dev 1,Yes,Section-wise file tracking and identity dedup,Planned
P2-T8,Phase II hardening and UAT closure,Phase II,2026-09-10,2026-09-30,21,P2-T6;P2-T7,All Devs,Yes,Phase II completion by 30.09.2026,Planned
P3-T1,Roster analysis and automated listing engine,Phase III,2026-10-01,2026-10-31,31,P2-T8,Dev 4 + Dev 3,Yes,CJ roster-based listing automation,Planned
P3-T2,Urgent memo auto-listing and priority routing,Phase III,2026-10-15,2026-11-15,32,P3-T1,Dev 4,Yes,Priority pipeline for urgent memos,Planned
P3-T3,Courtroom transcription AI stabilization,Phase III,2026-10-20,2026-12-05,47,P2-T6,Dev 4 + Dev 1,No,Reliable transcription module for court use,Planned
P3-T4,Performance security DR and CERT-In readiness,Phase III,2026-11-01,2026-12-12,42,P3-T2;P3-T3,Dev 1 + All Devs,Yes,180-day log controls and 6-hour incident SOP validation,Planned
P3-T5,Final UAT handover and program closure,Phase III,2026-12-08,2026-12-22,15,P3-T4,PM + All Devs,Yes,Final closure sign-off by 22.12.2026,Planned
